uf,Saúde_pearson,Saúde_spearman,Educação_pearson,Educação_spearman,Assistência Social_pearson,Assistência Social_spearman,Infraestrutura_pearson,Infraestrutura_spearman
AC,0.16957002568326926,0.09999999999999999,0.7810942985639417,0.7,0.781094298563942,0.7,0.7810942985639417,0.7
AL,0.1695700256832635,0.09999999999999999,0.7810942985639429,0.7,0.7810942985639419,0.7,0.7810942985639423,0.7
AM,0.16957002568326712,0.09999999999999999,0.7810942985639433,0.7,0.7810942985639427,0.7,0.7810942985639433,0.7
AP,0.1695700256832668,0.09999999999999999,0.781094298563942,0.7,0.7810942985639424,0.7,0.7810942985639425,0.7
BA,0.16957002568326732,0.09999999999999999,0.7810942985639429,0.7,0.7810942985639433,0.7,0.7810942985639431,0.7
CE,0.16957002568326734,0.09999999999999999,0.7810942985639431,0.7,0.7810942985639426,0.7,0.7810942985639429,0.7
DF,0.16957002568326704,0.09999999999999999,0.7810942985639419,0.7,0.7810942985639433,0.7,0.7810942985639419,0.7
ES,0.16957002568326598,0.09999999999999999,0.7810942985639404,0.7,0.7810942985639423,0.7,0.7810942985639429,0.7
GO,0.16957002568326834,0.09999999999999999,0.7810942985639426,0.7,0.7810942985639404,0.7,0.7810942985639425,0.7
MA,0.1695700256832707,0.09999999999999999,0.7810942985639425,0.7,0.7810942985639409,0.7,0.7810942985639424,0.7
MG,0.16957002568326715,0.09999999999999999,0.7810942985639435,0.7,0.7810942985639425,0.7,0.7810942985639427,0.7
MS,0.16957002568326557,0.09999999999999999,0.7810942985639423,0.7,0.7810942985639419,0.7,0.7810942985639422,0.7
MT,0.1695700256832645,0.09999999999999999,0.7810942985639421,0.7,0.7810942985639422,0.7,0.7810942985639423,0.7
PA,0.16957002568326857,0.09999999999999999,0.7810942985639429,0.7,0.7810942985639425,0.7,0.7810942985639432,0.7
PB,0.1695700256832696,0.09999999999999999,0.7810942985639424,0.7,0.7810942985639421,0.7,0.7810942985639409,0.7
PE,0.1695700256832678,0.09999999999999999,0.7810942985639429,0.7,0.7810942985639435,0.7,0.7810942985639425,0.7
PI,0.1695700256832665,0.09999999999999999,0.7810942985639409,0.7,0.7810942985639422,0.7,0.7810942985639421,0.7
PR,0.1695700256832662,0.09999999999999999,0.781094298563943,0.7,0.7810942985639425,0.7,0.7810942985639433,0.7
RJ,0.1695700256832678,0.09999999999999999,0.7810942985639421,0.7,0.7810942985639424,0.7,0.7810942985639424,0.7
RN,0.16957002568326787,0.09999999999999999,0.7810942985639395,0.7,0.7810942985639407,0.7,0.7810942985639393,0.7
RO,0.16957002568325685,0.09999999999999999,0.7810942985639486,0.7,0.7810942985639494,0.7,0.78109429856395,0.7
RR,0.16957002568326646,0.09999999999999999,0.7810942985639425,0.7,0.7810942985639422,0.7,0.7810942985639424,0.7
RS,0.16957002568326995,0.09999999999999999,0.7810942985639432,0.7,0.7810942985639429,0.7,0.7810942985639429,0.7
SC,0.16957002568326643,0.09999999999999999,0.7810942985639435,0.7,0.7810942985639424,0.7,0.7810942985639426,0.7
SE,0.16957002568326796,0.09999999999999999,0.7810942985639417,0.7,0.7810942985639425,0.7,0.781094298563942,0.7
SP,0.16957002568327018,0.09999999999999999,0.7810942985639423,0.7,0.7810942985639424,0.7,0.7810942985639434,0.7
TO,0.1695700256832673,0.09999999999999999,0.7810942985639427,0.7,0.7810942985639417,0.7,0.7810942985639427,0.7
