StockCode,TotalPrice
22423,A
85123A,A
85099B,A
47566,A
POST,A
84879,A
23084,A
22502,A
79321,A
22086,A
21137,A
22197,A
23203,A
22386,A
23298,A
23284,A
82484,A
22720,A
22960,A
85099F,A
22470,A
22178,A
22469,A
20725,A
23245,A
22727,A
23199,A
20685,A
22910,A
22629,A
23355,A
22457,A
21181,A
22699,A
21915,A
48138,A
22112,A
85099C,A
23201,A
48187,A
22138,A
22189,A
21623,A
23173,A
21733,A
21175,A
22326,A
23243,A
21931,A
22726,A
23209,A
22961,A
21621,A
23202,A
22666,A
15056N,A
22722,A
22139,A
21166,A
85066,A
48194,A
22630,A
21731,A
22411,A
22111,A
82482,A
21523,A
84946,A
22659,A
84997D,A
20713,A
22090,A
22383,A
22728,A
23206,A
21929,A
20727,A
21928,A
22697,A
22969,A
84347,A
22467,A
23344,A
22693,A
82486,A
20914,A
20728,A
82494L,A
48185,A
71477,A
21212,A
23240,A
22384,A
22865,A
22328,A
22492,A
21485,A
22382,A
21754,A
15036,A
21843,A
85152,A
22114,A
22385,A
20712,A
84997B,A
22077,A
22624,A
15056BL,A
20726,A
22698,A
22993,A
84997C,A
82483,A
48184,A
84029E,A
84077,A
22084,A
23356,A
23313,A
22622,A
23200,A
82583,A
23108,A
22900,A
22847,A
22558,A
84978,A
22507,A
22835,A
23301,A
22188,A
20750,A
22551,A
22113,A
22866,A
20749,A
21524,A
82600,A
22867,A
DOT,A
22083,A
22379,A
21232,A
84078A,A
22941,A
22752,A
22625,A
22554,A
21977,A
23077,A
22607,A
47590B,A
21755,A
48188,A
22171,A
23207,A
23174,A
22427,A
21930,A
22193,A
22568,A
21108,A
22413,A
22149,A
21790,A
22662,A
85014B,A
21936,A
22730,A
22617,A
22087,A
22988,A
47590A,A
21891,A
20724,A
22501,A
71459,A
21340,A
22499,A
23208,A
22570,A
48173C,A
23300,A
22776,A
21080,A
23076,A
22970,A
21479,A
22690,A
84997A,A
84755,A
22633,A
22556,A
22605,A
22692,A
22555,A
22560,A
84947,A
21430,A
84029G,A
22766,A
23343,A
22621,A
22846,A
21914,A
23170,A
21217,A
85048,A
23171,A
20679,A
22569,A
21481,A
22191,A
22978,A
20971,A
23175,A
22632,A
21559,A
85150,A
84375,A
22561,A
22966,A
20972,A
22619,A
84991,A
82582,A
21791,A
21174,A
22041,A
23582,A
23581,A
21216,A
22273,A
22989,A
22759,A
22791,A
84945,A
22424,A
22169,A
22158,A
22749,A
48116,A
23082,A
23078,A
23322,A
23318,A
23319,A
22734,A
22729,A
23080,A
23256,A
21210,A
22992,A
22652,A
72741,A
21121,A
22667,A
23439,A
84378,A
20711,A
22940,A
35970,A
23328,A
21136,A
22192,A
22557,A
22768,A
22952,A
21770,A
22616,A
22147,A
20719,A
21889,A
21908,A
22750,A
21314,A
23238,A
22585,A
22838,A
84836,A
22144,A
22355,A
22795,A
22741,A
23007,A
84406B,A
21218,A
23320,A
22771,A
23543,A
21213,A
84970S,A
22804,A
84949,A
23321,A
47566B,A
23215,A
23493,A
21169,A
23236,A
48111,A
21231,A
22352,A
22333,A
C2,A
21955,A
84380,A
23297,A
22950,A
22294,A
23254,A
22767,A
22844,A
22487,A
21787,A
23283,A
23083,A
22456,A
22367,A
22627,A
23008,A
23293,A
22840,A
23134,A
23103,A
22655,A
22725,A
22968,A
21165,A
22553,A
21259,A
22909,A
85014A,A
22634,A
23229,A
21122,A
23109,A
23534,A
22505,A
21035,A
22170,A
23553,A
84992,A
22381,A
22637,A
21669,A
23541,A
21668,A
21533,A
23382,A
21326,A
22631,A
23480,A
47556B,A
22173,A
22663,A
22620,A
22303,A
23307,A
23535,A
22783,A
21380,A
75049L,A
21975,A
22508,A
22834,A
22895,A
22943,A
47591D,A
17003,A
22654,A
71053,A
84030E,A
20969,A
21535,A
21888,A
22826,A
62018,A
21922,A
22979,A
23247,A
22779,A
21484,A
23296,A
84970L,A
22991,A
22356,A
23172,A
22151,A
22485,A
21877,A
22971,A
84988,A
23311,A
21672,A
21912,A
23312,A
22784,A
21156,A
21094,A
23204,A
48129,A
22740,A
23169,A
22584,A
20723,A
22150,A
22751,A
21871,A
23135,A
21155,A
23531,A
22635,A
23485,A
22668,A
23583,A
23192,A
23118,A
23126,A
82001S,A
22349,A
22595,A
23133,A
22946,A
20718,A
23188,A
22418,A
22904,A
23132,A
22466,A
20676,A
22141,A
22947,A
22964,A
22827,A
23158,A
23177,A
22296,A
22623,A
23556,A
22907,A
21670,A
22179,A
22302,A
21844,A
22780,A
23310,A
22109,A
84212,A
23154,A
22365,A
22796,A
21164,A
21671,A
22429,A
21673,A
22957,A
21242,A
23162,A
23263,A
23555,A
23554,A
22839,A
22120,A
21124,A
21907,A
21756,A
22297,A
22646,A
22366,A
22271,A
21172,A
23052,A
23295,A
23558,A
37449,A
22464,A
22998,A
21558,A
23157,A
23314,A
22488,A
22243,A
23159,A
22798,A
21390,A
22088,A
23234,A
23569,A
23286,A
22580,A
22849,A
23165,A
22301,A
47599A,A
82552,A
22207,A
22848,A
22636,A
22295,A
23010,A
21937,A
23285,A
84050,A
16014,A
21258,A
22142,A
22837,A
21539,A
21932,A
21498,A
21933,A
23176,A
23530,A
23198,A
23526,A
23288,A
23503,A
22938,A
22549,A
23275,A
21833,A
82551,A
22606,A
23389,A
22813,A
15056P,A
22082,A
23237,A
21428,A
22898,A
22845,A
22417,A
23241,A
22626,A
84987,A
20979,A
22174,A
20975,A
22661,A
23397,A
21086,A
21876,A
22689,A
22899,A
20970,A
23205,A
23404,A
22721,A
23166,A
23129,A
22772,A
22748,A
23340,A
23557,A
20974,A
72351B,A
21704,A
23144,A
23163,A
23494,A
23255,A
23167,A
23306,A
22117,A
22841,A
22550,A
23050,A
22489,A
23012,A
23193,A
22061,A
22274,A
23130,A
22723,A
21874,A
22951,A
23184,A
23309,A
23486,A
22431,A
22745,A
72760B,A
21257,A
21892,A
21098,A
20677,A
21749,A
23131,A
23351,A
23194,A
22053,A
85049A,A
22350,A
23081,A
20682,A
22781,A
23032,A
23049,A
22956,A
22980,A
23299,A
22596,A
22854,A
21154,A
22896,A
23191,A
22628,A
23092,A
22942,A
21746,A
23497,A
22842,A
85049E,A
23089,A
22649,A
23232,A
22809,A
23349,A
21588,A
23127,A
23091,A
84508A,A
22688,A
22371,A
21497,A
21531,A
22782,A
22089,A
21745,A
21703,A
23542,A
23110,A
21260,A
22131,A
22665,A
23085,A
84792,A
23294,A
22493,A
23552,A
22148,A
21244,A
22577,A
23571,A
22908,A
23189,A
21243,A
23332,A
21527,A
23009,A
23156,A
22563,A
23536,A
21890,A
47567B,A
22435,A
22890,A
22694,A
22926,A
23168,A
22348,A
23112,A
23013,A
21463,A
23230,A
23111,A
23426,A
23388,A
22967,A
20675,A
23210,A
22801,A
23350,A
22775,A
22029,A
22491,A
22236,A
21906,A
23065,A
23308,A
22432,A
23239,A
23353,A
23342,A
22578,A
23253,A
85053,A
22738,A
22567,A
22760,A
22300,A
22468,A
22687,A
23231,A
16161P,A
22855,A
23346,A
23323,A
21385,A
23461,A
23035,A
23014,A
22812,A
22311,A
21716,A
22892,A
82580,A
22656,A
23390,A
22244,A
22504,A
22962,A
22065,A
22212,A
21561,A
21974,A
21135,A
21429,A
22460,A
23242,A
22669,A
22195,A
21868,A
23182,A
21935,A
22894,A
84692,A
85132C,A
21918,A
23329,A
37370,A
23393,A
22465,A
22219,A
22800,A
22079,A
21238,A
22180,A
21658,A
79000,A
23345,A
22331,A
22823,A
23290,A
21715,A
22972,A
21499,A
23051,A
23354,A
22746,A
21381,A
22739,A
23190,A
22965,A
21201,A
20754,A
22702,A
22810,A
23147,A
22604,A
22045,A
23427,A
22843,A
47599B,A
22830,A
22078,A
23211,A
22222,A
21500,A
21563,A
22906,A
23053,A
21115,A
23395,B
23164,B
23100,B
22777,B
22700,B
21112,B
21985,B
20973,B
22430,B
22187,B
22564,B
23266,B
22778,B
23489,B
23333,B
23212,B
22833,B
22354,B
21976,B
20828,B
22433,B
85184C,B
22925,B
22072,B
22582,B
23196,B
23292,B
21240,B
20717,B
23681,B
22974,B
72351A,B
23264,B
22937,B
22822,B
23407,B
47559B,B
22175,B
23146,B
21810,B
21411,B
22963,B
21495,B
21116,B
21903,B
22794,B
84568,B
16156S,B
22327,B
23341,B
20829,B
22610,B
85178,B
22644,B
22930,B
23570,B
22774,B
23437,B
23396,B
21110,B
22945,B
22902,B
21730,B
22437,B
23412,B
22440,B
22691,B
22773,B
20983,B
22215,B
23400,B
23436,B
22645,B
85062,B
22797,B
21107,B
21875,B
23316,B
72807C,B
23498,B
22672,B
23054,B
22380,B
22927,B
22426,B
22670,B
23330,B
46000S,B
22241,B
22360,B
21735,B
84832,B
21811,B
23438,B
84509A,B
23360,B
22660,B
22329,B
23265,B
21592,B
21896,B
22704,B
22990,B
21625,B
35961,B
22851,B
23401,B
23406,B
23048,B
21109,B
23445,B
22030,B
22939,B
23093,B
35004B,B
22476,B
23501,B
23064,B
22548,B
23233,B
23046,B
23079,B
22378,B
21313,B
22064,B
21982,B
23504,B
23128,B
21609,B
21934,B
22441,B
21452,B
84596B,B
22425,B
21794,B
23252,B
22573,B
22483,B
85175,B
23029,B
21239,B
22185,B
22283,B
22983,B
23020,B
22743,B
22737,B
23326,B
22075,B
20978,B
85038,B
22196,B
23028,B
23152,B
82581,B
22811,B
84950,B
23031,B
20751,B
21078,B
23424,B
22829,B
23490,B
85174,B
37448,B
21980,B
23403,B
22128,B
72802C,B
23352,B
23268,B
22653,B
21878,B
22224,B
22831,B
21900,B
37500,B
23066,B
22914,B
23529,B
23302,B
23227,B
22059,B
23068,B
22478,B
23500,B
23197,B
22933,B
21033,B
23374,B
22732,B
22955,B
22121,B
21993,B
22863,B
23145,B
85049G,B
23213,B
22805,B
21506,B
22824,B
22973,B
22080,B
23251,B
22733,B
23161,B
22931,B
22592,B
20977,B
22792,B
22959,B
22744,B
21249,B
40016,B
23274,B
22996,B
23291,B
20992,B
22374,B
23235,B
21556,B
23491,B
23357,B
84880,B
23359,B
16169E,B
23289,B
22762,B
22601,B
47504K,B
22763,B
23094,B
22736,B
22747,B
23367,B
23315,B
22807,B
23075,B
22897,B
23005,B
10135,B
23371,B
22412,B
